userId,restId,star,rating_env,rating_flavor,rating_service,comment
22,0,4,3,5,4,"非常喜欢麦德龙啊，像个大仓库，看上去挺简陋的，整体也就一层，但是什么都有啊~
尤其是食品，进口的非常多。有时候想做西点或西餐，去麦德龙能买齐东西。
麦德龙自己的泡芙很好吃，又便宜。里面的奶油倒是一般，重点是外面的皮，和菠萝包外面那层皮一样。
就是要办会员卡才能在里面买东西，办卡还需要工作证明~~麻烦~~
不过没有卡的可以去拿一张临时会员卡，就一张纸，只能用一次。
自备购物袋~
"
23,0,4,2,3,2,"全部都是货架 有点像个仓库??东西都要成打的买··我哥哥喜欢去那里买东西··觉得还不错吧 有很多其他超市买不到的物品··总的来说很不错·
"
24,0,4,3,3,3,"很喜欢这的环境，停车方便，每次来都买一大堆东西回去。
这有一些外面没有的商品，质量也好，不过价格也不低哦。
不提供塑料袋，外面提供免费的纸箱给你打包，开车来的话还是比较方便的。
"
25,0,4,3,4,3,"从小就喜欢逛这种仓储式的大超市，逛起来超级嗨
这里真的不错，什么东西都有，进口食品也很多
性价比也不错，以前要卡用，现在貌似不用了
"
26,0,4,3,4,3,"麦德龙服务那个叫好呀！真的是一条龙服务，里面啥东西都卖，嘻嘻，超爱到里面买吃的东东，一次出来都是拼了一大包呀！不得了哦
"
27,0,4,2,4,2,"很喜欢里面的进口食品?? 还有现做的甜甜圈很好吃??不过??经常下班去晚就卖空了
进口水果很贵?? 酸奶价格很实惠??就是不提供塑料袋??很麻烦
"
28,2,3,2,2,2,"服务员态度太次。^_^价格便宜，效果太一般。总是有破音。但容易唱出气氛。适合学生。超市食品少，停车方便。╮(╯▽╰)╭
"
28,3,4,3,3,3,"这是我第一次去K歌的地方。价格很实惠！后来我们经常有事没事，想唱歌的时候就到这里来（不过我们都是吃饱饱的进去，到了里面是不点东西吃滴，嘿嘿~）
"
31,4,4,3,3,3,"无论从硬件设施，还是从展品的质量，在省级博物馆里，绝对可以排前十，
当然，陕西省博物馆肯定是第一名，那不能比。
湖南地区的历史文化悠久，从西汉开始，长沙国就是重要的封国。
湖南省博物馆的镇馆之宝是著名的马王堆汉墓文物，
当然最有名的，是马王堆的老太太，也就是长沙国相的老婆辛追。
辛追的尸体保存的相当完好，是世界上湿尸里保存的最好的之一。
这要归功于巨大的木质棺椁的密闭性，和棺材内的神秘液体防腐。
出土的还有丝绸，漆器，以及著名的T型帛画和素纱蝉衣。
真是巧夺天工，中国古代的科技实在太发达了！
另外，三国时期长沙属于吴国，修建平和堂时出土的吴国竹木简，
也是重要的文物，对研究当时社会有很高的参考价值。
希望大家多去博物馆，那里能让你变的更有文化。
"
34,4,5,4,5,4,"实在要来赞一赞省博，首先网站做的很好，不多的能支持firefox的网站啊。网上订票系统非常靠谱，并且当天去了才知道网上订票可以再另外的预订队伍里取票。
不过还是去晚了只能排队取票，非周末可能大概半个小时左右拿到票，下午时段参观，顺便就去了烈士公园转转。
下午进馆参观还遇到了个美女志愿者讲解员，讲的很好啊，不过也就我们两个加上另外有两个人跟着一路看一路听。不得不说大多跟团来的都是看个热闹= =！还闪光灯狂闪的，唉。
东西自然是特别的，喜欢纺织品，纹饰现在很少看见了呢。
"
35,4,5,,,,"第二次去了，正值周末，10点到已经只拿到下午2点的票子。估计排在后面的人是看不成了。
马王堆是非常值得一看的展览，省博做得很地道，入口处有专人负责按时讲解，对内容的了解大有帮助。
"
37,4,5,,1,,"给予全五星的评价在于带我们的荣誉志愿者，唐老伯。呵呵，好像是财政厅退休公务员，带着湖南口音，虽然有时候听不太懂，但真是很详细，有时候别的导游来了两三波了，他还在说。哈哈哈，从9点一直到11点多。这是我第一次觉得来博物馆看得兴趣盎然咧。
来长沙旅游的，先前疏忽了，没在网上订票，早早去排队站在第一个，难忘经历
"
38,4,3,4,2,4,"到长沙出差，利用周末时间去了一趟博物馆。门口散客排了好长的队伍等着领票，幸好我是网上提前预约的，用身份证就直接进去了，不用排队。
里面参观的大多是旅游团，进展室时还要排队，也许是因为我提前预约的关系，工作人员没有让我排队，优先进去了。
整个博物馆并不大，展览以马王堆汉墓为主。以前看过一个科教节目，说历史上的辛追夫人其实是个又丑又胖的悍妇，现在所谓的复原像，不过是为了吸引人们眼球而特意美化的形象，毕竟美女的聚焦度总是比丑女高。
除此之外的字画展、青铜器展的展室很小，文物也很少，就没什么值得一看的了。好像整个湖南省除了一个马王堆就没有出土过其他文物了。
整体参观下来不到1小时，和我在其他省市参观过的博物馆比起来，这里的规模实在是太小了。
因为游客以旅行团为主，人声很嘈杂，再加上小孩子的尖叫和疯跑，让人很受不了。建议中午12点半到1点之间的时间段去参观，那时候人很少。
工作人员的服务态度很好，看到我是一个人去参观的，还主动要给我拍照留影。
因为关于马王堆汉墓的图片及相关知识以前了解过很多了，所以这次参观没有什么惊喜和震撼的感觉，不过这里还是外地游客到长沙必去的景点之一。
"
40,4,5,5,5,5,"非常好的一个博物馆，是我所有去过的博物馆里感觉最正规的一家，凭有效证件可以入馆，可以自助免费存小件物品，讲解员和馆内外的工作人员也非常认真，其他的服务人员也很热情，非常好的！馆内的藏品也让人非常震撼！希望继续保持～
"
41,4,4,3,4,3,"Day 3
出发前在网站上预约了上午11点的参观券，免去了守在门口排队领票的折磨。
进去了一看，里边还有个专门给开车进来的观众开的窗口，让土豆很费了点思量。
虽然在院内停车也是免费的，但这个安排还是貌似有些不公平，为什么呢？
相对于别家的“博”或“杂”，湖南博物馆却是以“专”而“精”名声在外。
两个人在里头呆了4个多小时，只是参观了马王堆汉墓陈列，但收获却是多多。
头一个是漆器，写着“君幸食”的餐具和“君幸酒”的酒具，直让土豆口水暗涌。
另一个就是帛画，那招魂幡上的图案，在土豆看来就是中国的图画版《神曲》。
最后还淘到一本《汉代漆器图案集》，盖了博物馆的图章，算是一个小小纪念。
"
46,4,5,4,4,4,"这是我来长沙最最期待的一定要去的地方，总算今天特地去瞻仰千古遗容了，开车到门口大屏幕显示着门票已发完的字样，心里一惊以为今天是白来了。但进了停车场才知道凭停车卡和有效身份证里面也能领，停车还不花钱，真好。里面不时还有专业讲解员带队，可惜人太多，在听过主要的讲解后我和LG就自由活动了。当然不能不看就是三件镇馆之宝了，利苍妻辛追夫人，素纱憚衣和帛画。在感叹古人的神奇之余，回过头替辛追夫人想想，她也真可怜。中国人讲究入土为安，她却在死后还不能清静，想想太过富贵有什么意思，金钱却买不来正常人有的生活，愿夫人安息！
"
47,4,5,,,,"地方很大 很气派~~
可以逛很久~~~去的时候是免费的~不过要安检~~~
里面的马王堆~幸追夫人~还是很不错的~~~~
去的时候有一个吴越文化特别展~~~东西也很多~~~~~很好看
"
48,4,4,,,,"还是冲着辛追夫人去的~名不虚传啊~
博物馆的管理也不错，领票排队时间也不长，还安排了专门的志愿者讲解马王堆，感觉像是上了一堂生动的历史课，非常不错~
不过相比马王堆，其他的展品就显得一般了~
"
49,4,4,,,,"因为马王堆汉墓的大部分文物，而让人感觉神秘、令人向往的博物馆...
馆内展出的西汉墓葬中出土的光亮如新的漆器，代表了汉初髹漆业的最高水平；
华丽轻柔的丝绸，展示了纺织技术的惊人成就；浪漫神奇的帛画，叙述了神秘的天国幻想与永生渴望；
翰墨飘香的帛书，传承了先哲的学识与智慧；千年不朽的女尸，是人类防腐史上的奇迹......
到长沙，一定要来省博物馆参观
"
50,4,5,,,,"我们到达的时候是下午3点，门票已经发完了。当时正焦虑的不知道怎么办才好，门卫大哥给我们俩补办了门票，这才得以入馆。非常感谢！绝对不虚此行！相当震撼的展览！原来古人也化妆，还有假发。记忆最深的是那个藕汤。可惜真颜已不得见。
挺同情辛追夫人的。她的墓造得如此好，是遵循着古人视死如生的信仰。可是君不见，2000年后，还是被人掘了墓，内脏什么的都掏出来放到别的地方，衣服也被扒了下来，只剩裸体被世人参观。早知如此，还不如当初就被岁月腐蚀掉肉体呢！
以上只是出于人文角度，请科学家们勿喷。
"
51,4,4,,,,"喜欢中国古代文化，所以到了长沙就一定要去看一看马王堆文物。乖乖，几千年前的东西做的这么精美
辛追家族厉害哦，老早的时候在邮票上看到过马王堆的文物，现在看到真的了.......
里面还有其他的一些不是马王堆的东西，青铜器啥的，看看也蛮好。
"
52,4,4,3,3,3,"不用约票，
只要出示自己的身份证，
就能免费参观了。
长沙的路，我不是很熟，
我觉得应该在比较市中心的位置吧，
打车不贵。
这里的馆藏文物还是很丰富的，
当然，
尤以马王堆汉墓文物为首。
我想，
来这里的人主要还是来看辛追的。
不过，
这里的商周青铜器也很多，
还有湘楚文化，也很有特点。
至于陶瓷与绘画，
就我个人而言，
我觉得一般，
不如前几个震撼。
术业有专攻嘛，
我想对于博物馆来说也是一样。
可惜那天没有看到素纱禅衣，
据说是去别的博物馆展出去了，
遗憾啊～
不过，
看到了《人物御龙帛画》和《人物龙凤帛画》，
也算是小安慰吧。
我觉得各地的博物馆都是很值得一去的地方，
或许那里的管理与修缮都不太到位，
但东西是好东西，
在紧凑的旅行当中，
不妨抽出点时间，
去博物馆慢慢逛逛。
"
8,4,4,2,3,3,"我去的时候还在上小学，那时候是要票的，到现在才免费开放，想想自己真是亏了。
出土女尸——老太太的状态一直保持的很好，棺椁保存在很远的地方。各种随葬品都很惊人，但是我印象最深的还是那些红而亮的漆器，真是历久弥新。
灯光略有幽暗，不是我喜欢的杭州的博物馆的风格。还有，不明白为什么非要凭身份证进去。
"
53,4,4,4,3,2,"博物馆其实就是马王堆一个展区比较大，比起湖北省博物馆来小多了，1小时就能转完，湖北的转半天也完不了。特别是排队领票真是痛苦，博物馆只让那些旅游团先进，不考虑我们这些不花钱的老百姓的感受。
"
55,4,4,,1,,"特地网上预约的，满方便的。去了就能拿票了。
去的那天人满少的，还有画展。
里面有专门的讲解员，说得很详细。
看到了老太太真容，真是不可思议啊。
博物馆还是值得去看看的。
"
58,4,3,,,,"网上提前预约了时间，不过当天比预约时间提早了2个小时到也让进了，其实去的人都是冲着千年女尸去，马王堆出土的东西去的，其他感觉也没什么好看的跟一般博物馆都差不多，出土的棺木还是蛮壮观的，基本上1个小时内就能逛完了
"
59,4,4,3,3,2,"湖南省博物馆最吸引人的就是长沙马王堆汉墓出土的文物了。
记得上小学还是中学的时候，历史课本上面就提到了长沙马王堆汉墓，就是那件著名的重量不到1两的薄纱衣服。去长沙出差的时候，就和同事 结伴来这里看看，也算亲眼见一下这件听说了二十年的宝物吧。
现在的长沙马王堆汉墓就是湖南省博物馆，因为文物什么的都被保存在这里了。博物馆建筑面积挺大的，上下一共有好几层。很多国家领导人都来这里游览过。展厅面积也很大，不过最吸引人的就只有2样，一样是保存完好的女尸，一样就是前提提到过的，读过书的人都知道的那件49克重的衣服。
马王堆汉墓距离长沙的市区不远吧，开车挺方便的。一共发掘了三座墓，二号墓的是汉初长沙丞相轪侯利苍，一号墓是利苍妻，三号墓是利苍之子。一号墓的那具女尸，距今已经有两千多年历史了，形体完整，全身润泽，解说员说甚至部分关节还可以活动。开始我以为是类似于埃及木乃伊的技术，后来解说员说她既不同于木乃伊，又不同于尸腊和泥炭鞣尸。应该是一种比较特殊的技术吧，呵呵。
三号墓加了大跨度的顶棚，观赏起来很有冲击力，会觉得很壮观。灯光不算太明亮，据说是为了保护出土的文物，可以理解诶。里面还有一个放映厅，播放的是辛追夫人的故事。效果类似于3d的，部分是人造景观，通过灯光打造效果。效果还不错，每天定时播放几场，去的时间不凑巧的话就要等。现在博物馆都很会做生意了，基本上没什么考究的历史，都被炒作了，真正是拿死人赚钱啊。里面还卖一些纪念品和书，书大概是10块钱一本吧。感兴趣的游客可以买本看看，不过个人觉得没什么实际价值。
一号墓出土了大量丝织品，保护都比较完好。品种众多，有绢、绮、罗、纱、锦等。那件49克的衣服，轻若烟雾，薄如蝉翼，长一米多，且有长袖，真是巧夺天工啊，不知道现在的机器能做出来吗？不得不佩服古人的手艺。这年头，什么都工业化了，但最终这是历史的进步呢还是人类的不幸？
博物馆门票50元，基本上半天就逛完了。上下一共三层，最好是跟解说员走，容易迷路。据说不允许走回头路的。不过也没关系，跟着大部队走就是了。
"
60,4,4,,1,,"马王堆出土的文物成就了一个省级博物馆。去看女尸的时候，真的觉得她死了可能不过一个多月而且还是泡在福尔马林里那种的一个多月，真的是非常神奇。
所谓姻缘际会成就了一具不腐的女尸，又是姻缘际会成就了马王堆的名声。
其实别光说历史发生了多少大事，即便是像马王堆这样得到一具好的女尸，研究研究千年以前的古人吃了什么，穿着什么，情人间送礼物爱送什么，就像问一个邻居你昨天吃了什么，买了什么衣服穿，情人节送了对方什么礼物一样……也很有趣~~
"
62,4,4,,1,,"拿身份证领票，早上8点45开始放票，可是那个时候已经又很多很多人排队了，所以还是更早去吧，看的东西蛮多的，有免费带导游，不错
"
65,4,5,,,,"去过三次，个人认为这是长沙最值得去的地方，博物馆的重点就是辛追，遗憾的是，每次去我都会感到悲哀，虽然我三次去的时候都要门票，但是每次看到辛追，都觉得现代的人类不应该挖她出来，除了第一次我觉得辛追像刚死去一样，后来两次我觉得太惨不忍睹了。建议大家要去就早去，以后肯定越来越腐烂
"
66,4,4,3,4,3,"记得当时博物馆刚开始免费的时候，每次路过都看到那排队排到烈士公园。过了一年就好多了。我们去那天下着小雨，我们还怕人多在网上先预约了，但是到了那里发现根本没人。里面讲解员基本上是为我和老公俩人讲，还是个帅哥哈哈。。。
"
16,4,4,4,4,3,"朋友给的免费票，看的是个展览，也顺路看望了辛娭毑。好多年没有去看望过了。
现在好像也是不是要出钱买票。可以申请免票的，不过申请免票的数量有限制。估计是先到先得。
辛娭毑风采依旧，看望她老人家的很多，我去的时候，正好看到刘小豹馆长在帮贵宾介绍，但是外围太吵闹了。有些根本听不见。估计辛娭毑也很烦躁，也会觉得太吵了。管理估计应该也有问题。在北京博物馆就没有这样的现象。
还有一个就是没有饮用水可以免费的，希望以后加强。太吵闹的问题还是要解决下，不要像菜市场一样。这个要靠馆方多去引导。
"
72,4,4,3,3,3,"给我们讲解的讲解员非常之认真 知识面也很广 短短一个半小时是没办法看的很细的 博物馆很大 文物也很多 老太太肯定是要看的 那薄如蝉翼的丝衣 精美的陶器青铜器等等 都是令人叫绝的
"
73,4,4,4,4,5,"之前已经上网订好票，所以好方便就入左去啦。
里面有好多辛追夫人一家嘅陪葬品，仲有辛追夫人嘅尸体，保存得真系几好
"
75,4,4,,,,"可以等同于马王堆博物馆，馆中有三大镇馆之宝：帛画，素纱禅衣，湿尸，且不论其他丰富的展品，光就这三样，该馆在全国博物馆中也占有重要的地位。
但是觉得服务态度还是要改进，比如是不允许带水进去的，刚开始不知道，问了馆方说要交给他们，然后我们问是不是能替我们保管，他们说不能，而且口气非常冷冰冰，其实很小的一件事，博物馆为什么不能多为参观者多做一件事呢？还有在展示女尸的地方，大家激动地在拍照片，当然有些参观者不太自觉开着闪光灯，有些或许是忘了设置成关闭模式了，旁边的馆方人员凶的要死，居然冒出一句：你是不是想破坏国家文物？！他的焦急能够体谅，也不至于态度成这样吧，当然参观者也要文明自律。
"
76,4,5,5,5,5,"上大学时候去的，当时学生证是半价25，后来凭有效证件就不要钱了。
非常喜欢的一家博物馆，里面可看的东西很多，当然最吸引我的就是那个辛追夫人和“素纱单衣”，果然不是盖的~
里面的讲解员大部分都是师大学历史类的，非常专业和有耐心。
虽然不在长沙了，不过对那里还是很有感情的，赞~~~
"
77,4,3,3,3,2,"票是免费的，好像是每天有3000张免费票，拿着身份证就可以领。
但是入馆要排队，一批一批的，可以看出湖南省很重视啊，进去以后里面很冷，是为了保存那些文物所以温度调的很低，在里面穿春秋的衣服最合适。
看完以后感慨，干脆改名直接叫马王堆博物馆算了，几乎博物馆的80%陈列的都是马王堆出土的文物，只有两个展厅不是，一个是字画的，还有一个是青铜器的，就这样了。所以我觉得改名字更应景，不过也可能是湖南省很重视，所以整个博物馆差不多都是马王堆的东西。
不过看看也不错，那个女尸就不太能分辨出来了。
"
79,4,5,,,,"这两年也有很多机会去博物馆。。。不过还是想说湖南省博物馆是非常有特色的。。。
应该说整个展览分成两个部分吧。。。一个部分是马王堆的主体展。。。另一个就是湖南的一些考古发现。。。
其实来省博大部分的游客还是冲着马王堆来的吧。。。博物馆也很有心的为每一批游客安排了讲解员。。。从马王堆的发现。。。到马王堆出土文物的介绍。。。再到最后棺木和辛追的介绍。。。真是上了一节很生动的历史课。。。。参观讲解结束。。。还有意犹未尽的感觉。。。
另一个PART感觉和马王堆的LEVEL完全不能比阿。。。草草走马观花。。。而且没有讲解员的话。。。参观也有些不知所云吧。。。
走出博物馆。。。还是很感慨于古人的智慧。。。想来看到的展品都是2100多年前的古人的智慧。。。感觉真的非常神奇。。。
"
80,4,4,4,4,4,"免费参观的！不想排队的话就开车去!这里连停车费都不收哦！凭停车卡可以领取门票，不用再门口排队很安逸!馆内布展很科学，很多工作人员很有礼貌的提示游客不要开启闪光灯照相。马王堆老太太的遗容很震撼！真真切切让你体会到什么叫过目难忘啊！棺木的结构很科学，墓葬很完整，家底很殷实！来湖南省博物馆主要就是看这个了，其他展厅可以省略、、、、、
"
81,4,3,3,3,2,"出差第一天就来这了，人是真多啊，还得预约，看着排了好多列的队都有点退堂鼓了，现在旁边的小楼里看了会水墨画还有油画的展览。之后去的博物馆，看了很多的展品，也许是先去了首都博物馆，感觉别的博物馆都没什么意思。最后看的那个千年女尸还挺震撼的。其他的都一般吧。
"
82,4,5,,,,"网上订票去的，还是很顺利的就进去了，里面挺清净的，外围的环境也不错，还有鸽子可以喂。那天不是很闹，兜了一圈感觉还是很顺畅的，老娘娘和金缕玉衣挺震撼的。到此一游还是挺需要的
"
84,4,4,4,3,3,"以前来过长沙，不过一直没有来这里看看，主要是因为太忙了，所以就没有去了。不过这次我特地抽出一些时间去看看了。这里人很多，经常会有很长的队，我不过还算运气，一去就进去欣赏了。里面我不知道怎么形容不过只能说是我很震撼！！
"
86,4,5,4,4,4,"去过湖南的人，如果不去这里实在是太遗憾了，马王堆值得一看，特别的赞。以前还是要25元门票的，后来08年之后为了繁荣社会主义文化，全国的博物馆都不要钱了，于是乎我又和大学同学去看了一次，不过排队领免费票的人非常之多啊，不过等的也是值得的，免费之后服务变的更加好了，真的让人感叹啊！！有机会回长沙还要再看。。。
"
87,4,5,4,4,2,"博物馆里的马王堆展馆是不收门票的，所以每天早晨有很多人在排队去参观；而不同时段展出的那些东西是要收门票费的，一般都是三十元，买了这个门票就可以直接进去而且还可以参观马王堆的展馆。我去过好几次了，比如说某次画展和凤舞九天，感觉都不错。还免费办了一张会员卡，以后门票打5折。就算只参观马王堆展馆的话也可以不用排队直接进去。待遇挺好的！
"
89,4,5,4,5,3,"其实博物馆不大，展览也不算很多。但是个人就是比较喜欢博物馆的感觉，办了张会员卡后就更喜欢往那跑了。推荐大家在看完哪次要钱的展览后，可以去申请办一张会员卡，以后再去的的话，不仅可以提前进馆，还可以带两位同学一起。
"
90,4,4,3,3,3,"第一次去的时候是集体去看西洋画展，因为课堂需要去的，免了门票，平常去的人很多，要早早地去排队拿票，等的要死。会不定期地开放一些收费的画展或展览等，不过门票也不贵，去看的是芭比娃娃的展出，简直是太漂亮了。
"
91,4,4,,,,"早晨排了很长的队，领到票是下午的，就去旁边的烈士公园转了一圈。进门不让带水，只好一口气把两瓶橙汁都干掉。主要就是看那2000多年的干尸女人，从楼上往下面看，长长的黑发还是有点恐怖片的味道。里面的文物还是很震撼的，那么薄的金缕玉衣，相当漂亮，古人的技术也是非常了得的。讲解员非常不错，讲的很详细。
"
92,4,4,,,,"这是来长沙的第一站阿。心情很激动。博物馆名额有限，要敢早，就这样，我们去的时候都排了好长的队伍了。结果到了我们只能领到当天限时的票到点在来，已经很不错了，有些人连票都没的了。
湖南博物馆只要就是马王堆博物馆吧。参观的人大部分都是冲着马王堆去的。感觉还不错，挺让人震惊的。看到尸体，已经不像他们说的那样可以看到完整的人了，毕竟在外面也暴露了这么久了。
"
93,4,4,3,3,3,"跟着朋友过去的，环境很不错，当时去的时候很多人，还有很多带团的过去的，倒不是很大，转没多久就出来了，不过看到了那个女尸，感觉自己的历史好差啊。
"
94,4,5,4,4,4,"这里应该算是长沙之行最有意思的地方了，从领票到参观过程都很顺利。在马王堆展馆会有不少讲解员，跟随讲解员的讲述整个参观过程会变得非常有意思。
"
95,4,4,3,3,3,"省博，主要是看的西汉古墓的东西。其他朝代一点点东西只能作为陪衬。所以我说这是湖南博物馆的一大不足。不过，西汉文物在里面的很壮观！！我特别喜欢开始时照的出土时的照片。比如外景全图等等。很好奇！！还有不足的就是导游走得太快了，一波人又太多了，最后还是自己边走边看算了。
"
28,4,4,3,3,3,"亮点是马王堆汉墓出土的女尸、帛画及漆器，有专业免费讲解。除此之外藏品的质量不高。博物馆很小。我们上午8:10分到，排队至8:55发票，9:30才进入，11：00多出来的时候当天的票已经发完了。去之前可以网上预约，能直接领票进入。
"
96,4,5,5,4,5,"带广州来的朋友特地去看的，长沙的马王堆汉墓实在是太有名了，像老胖这种没文化的人居然都喊要去看。门票是在网上预约的，分时间段进去，还算是方便。里面关于马王堆汉墓的东西非常值得一看，把老胖镇住了。而且值得一提的是里面的导游人员素质绝对高，帅哥美女，而且态度非常好，有内涵，上次一个北京的朋友过来之后也是说，湖南省博物馆的工作人员和整体服务是所有他去过的博物馆里面最好的，比首博都好。作为一个湖南人还是很骄傲的！
"
97,4,4,,,,"一直想去，但是还没时间去，经过此地却有很多次了，每次都看到N多的人在排队，据说里面还是不错的，隔段时间就更新陈列的物品，每次都有收获的哦
"
98,4,4,3,3,3,"和同学去看过一次，里面古董是挺多的，不过碰到我们这种不懂古董的人就没用了，我们的目的就是去看女尸的，那女尸保存得还真好啊
"
99,4,4,3,4,4,"又一免费的 是值得一去的好地方哦??但是要领门票??那人之多呀??不过我当时去的是班上组织的??还叫上了车??所以就方面一点??但是到了之后 由于里面不能一下进去太多人 我们都是分批进去的??呵呵 看到好多好多文物呢??不错不错 里面好像还有个商店可以买些纪念品??但是价钱嘛?? 大家都心知肚明啦
"
100,4,4,4,4,4,"湖南省博物馆荟萃了湖湘大地的文物遗珍，展现了湘楚文明的来龙去脉，在喧嚣日甚的都市内，不失为优雅宁静的文化休闲去处，是了解湖湘文化的最佳窗口。
馆内绿树成荫，环境幽雅，历年修建的老陈列楼、办公楼和新陈列大楼等建筑古朴典雅，各具时代特点。
《马王堆汉墓》、《湖南名窑陶瓷》、《湖南省商周青铜器》、《湖南十大考古新发现》、《馆藏明清绘画》等常设陈列及临时展览在这里展出。
"
101,4,4,,1,,"免费了之后人明显比较多 一下火车就直奔这里 博物馆不大 但藏品堪优 特别是那个棺木 十分壮观 每一层都很精美 还有马王堆汉墓女尸 去长沙一定要记得观看
"
102,4,5,2,5,2,"吸引我去长沙博物馆的是辛追。千年湿尸，很是神奇。
跟随导游的步伐，回到辛追的年代，经过了千年的时光隧道，看到的是活生生的辛追，穿着世界上最轻薄纱，享尽富贵荣华，在千年后的今天仍然留下一个神话。
"
21,4,4,4,3,3,"一直想去博物馆去看看一批油画。
上次我老弟清早就去了、。
到了那边就发给我一条信息说那天关门，我差点没笑。
呵呵。不过去之前还要知道博物馆一般星期的营业时间。
"
103,4,4,,,,"自从免票之后，人那个巨多啊，排队都要老半天呢。但是很值得一去，馆中有三大镇馆之宝：帛画，素纱禅衣，湿尸。但是工作人员的态度就不怎么样啊，很牛气哄哄的。有讲解员和讲解器。但是我都是自己随便走走看看，走到哪儿了看到有人在讲解我就凑上去听会儿，还不错
"
104,4,4,3,4,3,"领票免费参观，这个排队就有点小难！当然，大家遵守秩序，时间也是过得很快的！博物馆很大，而且我看到了千年女尸，呵呵.... 不过没看到其他的镇馆之宝如素纱禅衣等，听说是去外面展览了，这是我的遗憾！
"
105,4,4,4,4,4,"是免费参观的！讲解的讲解员也是非常认真 知识面也很广 ，博物馆里面的文物是很多的，如果细看根本看不完，总体来说还是不错的
"
